Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
27a2897d-67b3-4d00-a197-85d8996148fd
Epoch 4 | Batch 20/58 | Loss 9.9324 | Rotate Loss 1.2695 | Accuracy 2.001380/1.923400 | Rotate Accuracy 57.0738 | Time 14.0999
Epoch 4 | Batch 25/58 | Loss 9.8799 | Rotate Loss 1.1778 | Accuracy 1.867336/1.818012 | Rotate Accuracy 57.9153 | Time 14.2326
Epoch 4 | Batch 30/58 | Loss 9.8495 | Rotate Loss 1.1524 | Accuracy 1.636279/1.771190 | Rotate Accuracy 57.8308 | Time 14.1868
Epoch 4 | Batch 35/58 | Loss 9.9895 | Rotate Loss 1.2137 | Accuracy 1.610306/1.707971 | Rotate Accuracy 57.1055 | Time 14.1419
Epoch 4 | Batch 40/58 | Loss 10.0685 | Rotate Loss 1.3013 | Accuracy 1.590668/1.699298 | Rotate Accuracy 55.2669 | Time 14.0728
Epoch 4 | Batch 45/58 | Loss 10.0929 | Rotate Loss 1.2939 | Accuracy 1.701323/1.733353 | Rotate Accuracy 54.6156 | Time 14.4272
Epoch 4 | Batch 50/58 | Loss 10.1464 | Rotate Loss 1.2905 | Accuracy 1.648196/1.746417 | Rotate Accuracy 54.2768 | Time 14.0512
Epoch 4 | Batch 55/58 | Loss 10.1617 | Rotate Loss 1.3265 | Accuracy 1.643375/1.711478 | Rotate Accuracy 53.8432 | Time 14.1622
Epoch 4 : Accuracy 1.400000, Rotate Accuracy 50.962500, Time 1615.832889
Epoch 5 | Batch 0/58 | Loss 10.3946 | Rotate Loss 1.6088 | Accuracy 0.724638/2.217294 | Rotate Accuracy 49.2754 | Time 14.2097
Epoch 5 | Batch 5/58 | Loss 9.9878 | Rotate Loss 1.2261 | Accuracy 1.690821/1.788729 | Rotate Accuracy 51.5700 | Time 14.0957
Epoch 5 | Batch 10/58 | Loss 10.2441 | Rotate Loss 1.1214 | Accuracy 1.976285/1.571994 | Rotate Accuracy 56.8511 | Time 14.1404
Epoch 5 | Batch 15/58 | Loss 10.3418 | Rotate Loss 1.1953 | Accuracy 1.992754/1.630505 | Rotate Accuracy 57.8804 | Time 14.1410
Epoch 5 | Batch 20/58 | Loss 10.4173 | Rotate Loss 1.3094 | Accuracy 1.794341/1.689339 | Rotate Accuracy 57.9020 | Time 14.0692
Epoch 5 | Batch 25/58 | Loss 10.3440 | Rotate Loss 1.2338 | Accuracy 1.839465/1.904209 | Rotate Accuracy 59.0301 | Time 14.1272
Epoch 5 | Batch 30/58 | Loss 10.3081 | Rotate Loss 1.1744 | Accuracy 1.870033/1.889306 | Rotate Accuracy 59.8410 | Time 14.1608
Epoch 5 | Batch 35/58 | Loss 10.2051 | Rotate Loss 1.1034 | Accuracy 1.871981/1.875958 | Rotate Accuracy 60.9702 | Time 14.0659
Epoch 5 | Batch 40/58 | Loss 10.0604 | Rotate Loss 1.0473 | Accuracy 1.944150/1.837135 | Rotate Accuracy 61.9123 | Time 14.1692
Epoch 5 | Batch 45/58 | Loss 9.9524 | Rotate Loss 1.0105 | Accuracy 1.906112/1.790536 | Rotate Accuracy 62.6181 | Time 14.1138
Epoch 5 | Batch 50/58 | Loss 9.8654 | Rotate Loss 0.9742 | Accuracy 1.875533/1.784920 | Rotate Accuracy 63.2850 | Time 14.0334
Epoch 5 | Batch 55/58 | Loss 9.8375 | Rotate Loss 0.9497 | Accuracy 1.811594/1.714006 | Rotate Accuracy 63.6905 | Time 14.2204
Epoch 5 : Accuracy 1.762500, Rotate Accuracy 70.400000, Time 1616.467442
Epoch 6 | Batch 0/58 | Loss 9.5312 | Rotate Loss 0.6238 | Accuracy 0.724638/2.796132 | Rotate Accuracy 71.0145 | Time 14.2571
Epoch 6 | Batch 5/58 | Loss 9.1586 | Rotate Loss 0.6657 | Accuracy 1.932367/1.777438 | Rotate Accuracy 71.1353 | Time 14.1187
Epoch 6 | Batch 10/58 | Loss 9.3080 | Rotate Loss 0.6476 | Accuracy 1.910408/1.804180 | Rotate Accuracy 71.7391 | Time 14.2264
Epoch 6 | Batch 15/58 | Loss 9.2668 | Rotate Loss 0.6216 | Accuracy 2.038043/1.870264 | Rotate Accuracy 72.3279 | Time 14.1477
Epoch 6 | Batch 20/58 | Loss 9.2570 | Rotate Loss 0.6218 | Accuracy 1.966874/1.872346 | Rotate Accuracy 72.4983 | Time 14.1334
Epoch 6 | Batch 25/58 | Loss 9.1864 | Rotate Loss 0.6068 | Accuracy 2.006689/1.726339 | Rotate Accuracy 72.9654 | Time 14.1022
Epoch 6 | Batch 30/58 | Loss 9.1207 | Rotate Loss 0.6017 | Accuracy 1.893408/1.768262 | Rotate Accuracy 72.9079 | Time 14.0930
