Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
db122d8b-efb6-447b-9023-30299c8e1851
Epoch 6 | Batch 15/58 | Loss 9.1871 | Rotate Loss 0.6841 | Accuracy 1.494565/1.677619 | Rotate Accuracy 70.6975 | Time 14.1724
Epoch 6 | Batch 20/58 | Loss 9.1858 | Rotate Loss 0.6555 | Accuracy 1.380262/1.663656 | Rotate Accuracy 70.8765 | Time 14.1502
Epoch 6 | Batch 25/58 | Loss 9.1564 | Rotate Loss 0.6452 | Accuracy 1.309922/1.651650 | Rotate Accuracy 70.4013 | Time 14.2092
Epoch 6 | Batch 30/58 | Loss 9.1982 | Rotate Loss 0.6429 | Accuracy 1.262272/1.549900 | Rotate Accuracy 70.4535 | Time 14.1145
Epoch 6 | Batch 35/58 | Loss 9.2323 | Rotate Loss 0.6416 | Accuracy 1.388889/1.580973 | Rotate Accuracy 70.9138 | Time 14.1247
Epoch 6 | Batch 40/58 | Loss 9.1991 | Rotate Loss 0.6338 | Accuracy 1.413927/1.564966 | Rotate Accuracy 70.8731 | Time 14.0751
Epoch 6 | Batch 45/58 | Loss 9.1605 | Rotate Loss 0.6143 | Accuracy 1.465028/1.557499 | Rotate Accuracy 71.4241 | Time 14.0801
Epoch 6 | Batch 50/58 | Loss 9.1176 | Rotate Loss 0.5986 | Accuracy 1.449275/1.558343 | Rotate Accuracy 71.6823 | Time 14.1201
Epoch 6 | Batch 55/58 | Loss 9.0830 | Rotate Loss 0.5875 | Accuracy 1.423395/1.645572 | Rotate Accuracy 72.0109 | Time 14.0634
Epoch 6 : Accuracy 1.725000, Rotate Accuracy 72.062500, Time 1615.536164
Epoch 7 | Batch 0/58 | Loss 8.2649 | Rotate Loss 0.5047 | Accuracy 1.449275/2.231360 | Rotate Accuracy 76.0870 | Time 14.0968
Epoch 7 | Batch 5/58 | Loss 8.6303 | Rotate Loss 0.6198 | Accuracy 1.932367/1.752301 | Rotate Accuracy 71.9807 | Time 14.2351
Epoch 7 | Batch 10/58 | Loss 8.7150 | Rotate Loss 0.6027 | Accuracy 1.515152/1.723899 | Rotate Accuracy 71.4097 | Time 14.1097
Epoch 7 | Batch 15/58 | Loss 8.6754 | Rotate Loss 0.5900 | Accuracy 1.494565/1.638819 | Rotate Accuracy 71.5127 | Time 14.1346
Epoch 7 | Batch 20/58 | Loss 8.5764 | Rotate Loss 0.5822 | Accuracy 1.552795/1.640984 | Rotate Accuracy 71.2560 | Time 14.1238
Epoch 7 | Batch 25/58 | Loss 8.4904 | Rotate Loss 0.5836 | Accuracy 1.421405/1.625555 | Rotate Accuracy 71.0145 | Time 14.0994
Epoch 7 | Batch 30/58 | Loss 8.4242 | Rotate Loss 0.5884 | Accuracy 1.402525/1.722046 | Rotate Accuracy 70.7807 | Time 14.1101
Epoch 7 | Batch 35/58 | Loss 8.3514 | Rotate Loss 0.5830 | Accuracy 1.429147/1.734614 | Rotate Accuracy 70.8937 | Time 14.0904
Epoch 7 | Batch 40/58 | Loss 8.3284 | Rotate Loss 0.5682 | Accuracy 1.466949/1.729935 | Rotate Accuracy 71.5977 | Time 14.0950
Epoch 7 | Batch 45/58 | Loss 8.3370 | Rotate Loss 0.5611 | Accuracy 1.449275/1.744561 | Rotate Accuracy 71.8494 | Time 14.0854
Epoch 7 | Batch 50/58 | Loss 8.3489 | Rotate Loss 0.5544 | Accuracy 1.449275/1.740960 | Rotate Accuracy 72.1370 | Time 14.0744
Epoch 7 | Batch 55/58 | Loss 8.4040 | Rotate Loss 0.5535 | Accuracy 1.539855/1.760014 | Rotate Accuracy 72.4120 | Time 14.1153
Epoch 7 : Accuracy 1.675000, Rotate Accuracy 71.050000, Time 1613.891581
Epoch 8 | Batch 0/58 | Loss 9.1919 | Rotate Loss 0.6228 | Accuracy 0.724638/3.363863 | Rotate Accuracy 70.2899 | Time 14.2101
Epoch 8 | Batch 5/58 | Loss 9.3735 | Rotate Loss 0.7308 | Accuracy 1.570048/2.181100 | Rotate Accuracy 67.5121 | Time 14.0984
Epoch 8 | Batch 10/58 | Loss 9.1815 | Rotate Loss 0.7461 | Accuracy 1.515152/1.845327 | Rotate Accuracy 68.7088 | Time 14.1286
Epoch 8 | Batch 15/58 | Loss 9.0286 | Rotate Loss 0.7134 | Accuracy 1.539855/1.798661 | Rotate Accuracy 69.7464 | Time 14.1833
Epoch 8 | Batch 20/58 | Loss 8.9403 | Rotate Loss 0.6958 | Accuracy 1.656315/1.790790 | Rotate Accuracy 69.9103 | Time 14.0657
Epoch 8 | Batch 25/58 | Loss 8.8783 | Rotate Loss 0.6679 | Accuracy 1.449275/1.861033 | Rotate Accuracy 70.8194 | Time 14.2491
Epoch 8 | Batch 30/58 | Loss 8.7865 | Rotate Loss 0.6380 | Accuracy 1.566152/1.859722 | Rotate Accuracy 71.2716 | Time 14.1587
Epoch 8 | Batch 35/58 | Loss 8.7222 | Rotate Loss 0.6179 | Accuracy 1.650564/1.855828 | Rotate Accuracy 71.7593 | Time 14.0807
Epoch 8 | Batch 40/58 | Loss 8.7237 | Rotate Loss 0.6039 | Accuracy 1.590668/1.777542 | Rotate Accuracy 71.8805 | Time 14.0419
Epoch 8 | Batch 45/58 | Loss 8.7138 | Rotate Loss 0.5956 | Accuracy 1.669817/1.765695 | Rotate Accuracy 71.8336 | Time 14.0792
Epoch 8 | Batch 50/58 | Loss 8.7277 | Rotate Loss 0.5848 | Accuracy 1.705030/1.782609 | Rotate Accuracy 72.0091 | Time 14.1744
Epoch 8 | Batch 55/58 | Loss 8.7163 | Rotate Loss 0.5816 | Accuracy 1.721014/1.802532 | Rotate Accuracy 72.0238 | Time 14.0795
Epoch 8 : Accuracy 1.550000, Rotate Accuracy 73.262500, Time 1617.298068
Epoch 9 | Batch 0/58 | Loss 8.3676 | Rotate Loss 0.4598 | Accuracy 2.173913/1.940410 | Rotate Accuracy 74.6377 | Time 14.1461
Epoch 9 | Batch 5/58 | Loss 8.4772 | Rotate Loss 0.4788 | Accuracy 1.570048/2.042287 | Rotate Accuracy 74.1546 | Time 14.1275
Epoch 9 | Batch 10/58 | Loss 8.6024 | Rotate Loss 0.5125 | Accuracy 1.778656/1.853502 | Rotate Accuracy 73.3202 | Time 14.1122
Epoch 9 | Batch 15/58 | Loss 8.6511 | Rotate Loss 0.5032 | Accuracy 1.675725/2.005410 | Rotate Accuracy 73.7319 | Time 14.0839
Epoch 9 | Batch 20/58 | Loss 8.6537 | Rotate Loss 0.5002 | Accuracy 1.449275/1.778568 | Rotate Accuracy 73.4645 | Time 14.1243
Epoch 9 | Batch 25/58 | Loss 8.6594 | Rotate Loss 0.5004 | Accuracy 1.282051/1.724115 | Rotate Accuracy 73.2720 | Time 14.1359
Epoch 9 | Batch 30/58 | Loss 8.6666 | Rotate Loss 0.5053 | Accuracy 1.496026/1.764022 | Rotate Accuracy 73.2118 | Time 14.0793
Epoch 9 | Batch 35/58 | Loss 8.6671 | Rotate Loss 0.5069 | Accuracy 1.509662/1.752905 | Rotate Accuracy 73.3293 | Time 14.0561
Epoch 9 | Batch 40/58 | Loss 8.6136 | Rotate Loss 0.5001 | Accuracy 1.555320/1.795802 | Rotate Accuracy 73.5596 | Time 14.1656
Epoch 9 | Batch 45/58 | Loss 8.5620 | Rotate Loss 0.4972 | Accuracy 1.654064/1.799473 | Rotate Accuracy 73.5507 | Time 14.0956
Epoch 9 | Batch 50/58 | Loss 8.5400 | Rotate Loss 0.5043 | Accuracy 1.733447/1.871646 | Rotate Accuracy 73.3447 | Time 14.1383
Epoch 9 | Batch 55/58 | Loss 8.5120 | Rotate Loss 0.5121 | Accuracy 1.682195/1.885608 | Rotate Accuracy 73.3049 | Time 14.1575
Epoch 9 : Accuracy 2.012500, Rotate Accuracy 68.675000, Time 1613.695100
Epoch 10 | Batch 0/58 | Loss 8.1175 | Rotate Loss 0.6981 | Accuracy 1.449275/1.889903 | Rotate Accuracy 67.3913 | Time 14.2044
Epoch 10 | Batch 5/58 | Loss 8.4268 | Rotate Loss 0.5471 | Accuracy 2.657005/1.998876 | Rotate Accuracy 72.1014 | Time 14.3140
Epoch 10 | Batch 10/58 | Loss 8.9240 | Rotate Loss 0.5819 | Accuracy 2.108037/1.783078 | Rotate Accuracy 71.0804 | Time 14.1468
Epoch 10 | Batch 15/58 | Loss 8.9664 | Rotate Loss 0.5689 | Accuracy 1.766304/2.108526 | Rotate Accuracy 71.8750 | Time 14.0819
Epoch 10 | Batch 20/58 | Loss 8.9536 | Rotate Loss 0.5498 | Accuracy 1.759834/2.016881 | Rotate Accuracy 72.1877 | Time 14.1491
Epoch 10 | Batch 25/58 | Loss 8.8612 | Rotate Loss 0.5424 | Accuracy 1.616499/1.879858 | Rotate Accuracy 72.6031 | Time 14.1983
