Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0163    000008.3098    0.2500    0.2107    0.5462    0.9667    24.1907
0164    000008.6351    0.2500    0.2138    0.5534    0.9667    24.2940
0165    000008.6816    0.2475    0.2179    0.5529    0.9664    23.9570
0166    000008.4409    0.2475    0.2154    0.5504    0.9667    24.1339
0167    000008.3177    0.2500    0.2200    0.5508    0.9667    23.9697
0168    000008.3177    0.2500    0.2209    0.5498    0.9667    24.2529
0169    000009.6276    0.2500    0.2165    0.5468    0.9667    24.1502
0170    000008.2992    0.2500    0.2108    0.5478    0.9664    23.9828
0171    000008.2932    0.2525    0.2145    0.5480    0.9660    24.4901
0172    000008.3064    0.2500    0.2125    0.5479    0.9667    24.2272
0173    000008.4567    0.2475    0.2157    0.5482    0.9667    24.2835
0174    000008.3719    0.2500    0.2148    0.5475    0.9667    23.9616
0175    000009.2737    0.2475    0.2149    0.5475    0.9659    24.4174
0176    000008.3556    0.2500    0.2148    0.5471    0.9667    24.0420
0177    000008.3177    0.2500    0.2141    0.5484    0.9667    23.9719
0178    000008.3098    0.2500    0.2140    0.5490    0.9667    23.8653
0179    000008.6431    0.2500    0.2144    0.5490    0.9667    24.0650
0180    000008.3058    0.2500    0.2138    0.5481    0.9667    24.3085
0181    000008.3074    0.2525    0.2151    0.5480    0.9667    24.5181
0182    000008.3066    0.2500    0.2157    0.5487    0.9664    24.4590
0183    000008.3832    0.2500    0.2147    0.5474    0.9667    24.1871
0184    000008.8106    0.2500    0.2140    0.5469    0.9663    24.2230
0185    000008.3138    0.2500    0.2125    0.5534    0.9667    24.3313
0186    000008.3098    0.2550    0.2161    0.5517    0.9667    24.5001
0187    000008.3177    0.2500    0.2172    0.5522    0.9667    23.9498
0188    000008.3138    0.2500    0.2165    0.5512    0.9667    24.1335
0189    000008.3098    0.2500    0.2148    0.5524    0.9667    24.0402
0190    000009.1063    0.2500    0.2172    0.5527    0.9660    24.1354
0191    000008.4137    0.2500    0.2151    0.5496    0.9656    24.3155
0192    000008.3138    0.2500    0.2142    0.5492    0.9667    24.1271
0193    000008.3138    0.2500    0.2131    0.5502    0.9667    24.3198
0194    000008.3138    0.2500    0.2147    0.5482    0.9667    24.3036
0195    000008.4823    0.2475    0.2146    0.5465    0.9667    24.3970
0196    000008.3177    0.2500    0.2119    0.5471    0.9667    24.2045
0197    000008.3098    0.2500    0.2146    0.5460    0.9667    24.2628
0198    000008.3098    0.2500    0.2144    0.5481    0.9667    24.0614
0199    000008.3177    0.2500    0.2136    0.5468    0.9667    24.0005
0200    000008.3106    0.2500    0.2166    0.5471    0.9659    24.0949
0201    000008.3098    0.2500    0.2125    0.5474    0.9667    24.2815
0202    000008.3138    0.2500    0.2146    0.5456    0.9667    24.0349
0203    000008.3138    0.2525    0.2156    0.5472    0.9667    24.2785
0204    000008.3177    0.2500    0.2145    0.5461    0.9667    24.0166
0205    000008.3066    0.2500    0.2151    0.5461    0.9664    24.1980
0206    000009.0181    0.2500    0.2144    0.5466    0.9667    23.9381
0207    000008.3106    0.2500    0.2133    0.5462    0.9660    24.3308
0208    000008.3138    0.2500    0.2144    0.5460    0.9667    24.3958
0209    000008.3138    0.2500    0.2166    0.5464    0.9667    24.0481
0210    000008.3138    0.2500    0.2135    0.5464    0.9667    24.4246
0211    000008.3138    0.2500    0.2140    0.5468    0.9667    24.4830
0212    000008.3138    0.2500    0.2152    0.5466    0.9667    24.0473
0213    000008.5181    0.2500    0.2149    0.5509    0.9667    24.1797
0214    000008.3058    0.2500    0.2146    0.5516    0.9667    24.1775
0215    000008.3177    0.2500    0.2154    0.5511    0.9667    24.1223
0216    000008.5704    0.2475    0.2163    0.5465    0.9661    24.1319
0217    000008.3154    0.2525    0.2167    0.5448    0.9667    24.2412
0218    000008.3138    0.2500    0.2173    0.5457    0.9667    24.1901
0219    000008.3381    0.2500    0.2169    0.5546    0.9667    24.3939
0220    000008.3177    0.2500    0.2184    0.5532    0.9667    24.0288
0221    000008.3177    0.2500    0.2175    0.5545    0.9667    24.1918
0222    000008.3098    0.2500    0.2177    0.5536    0.9667    24.2409
0223    000008.3064    0.2500    0.2148    0.5528    0.9667    24.1256
0224    000008.3106    0.2500    0.2156    0.5527    0.9663    24.1957
0225    000008.3138    0.2500    0.2145    0.5526    0.9667    24.2705
0226    000008.3106    0.2500    0.2148    0.5522    0.9664    24.2519
0227    000008.8566    0.2475    0.2167    0.5526    0.9662    24.2544
0228    000008.3138    0.2525    0.2133    0.5505    0.9667    24.2927
0229    000008.3138    0.2500    0.2143    0.5505    0.9667    24.0988
0230    000008.6332    0.2475    0.2160    0.5510    0.9667    24.1496
0231    000008.3098    0.2525    0.2161    0.5494    0.9667    24.0549
0232    000008.5422    0.2550    0.2188    0.5517    0.9665    24.4280
0233    000008.4308    0.2500    0.2157    0.5451    0.9667    23.9105
0234    000008.3074    0.2500    0.2146    0.5461    0.9667    23.9394
0235    000008.3177    0.2500    0.2158    0.5460    0.9667    24.4176
0236    000008.3138    0.2500    0.2155    0.5467    0.9667    24.0030
0237    000008.3026    0.2500    0.2147    0.5470    0.9663    24.2073
0238    000008.3177    0.2500    0.2153    0.5459    0.9667    24.1542
0239    000008.3138    0.2500    0.2145    0.5469    0.9667    24.6023
0240    000008.3399    0.2500    0.2183    0.5435    0.9667    24.3128
0241    000008.3138    0.2500    0.2193    0.5430    0.9667    24.5849
0242    000008.3177    0.2500    0.2187    0.5439    0.9667    24.3374
0243    000008.3177    0.2500    0.2178    0.5459    0.9667    24.0717
0244    000008.3177    0.2500    0.2179    0.5436    0.9667    23.9489
0245    000008.3177    0.2500    0.2171    0.5451    0.9667    24.2756
0246    000008.3556    0.2500    0.2151    0.5469    0.9667    30.1721
0247    000008.8060    0.2500    0.2156    0.5482    0.9667    24.1460
0248    000008.3002    0.2500    0.2138    0.5481    0.9667    24.7888
0249    000008.3177    0.2500    0.2136    0.5481    0.9667    24.2970
0250    000008.8744    0.2475    0.2122    0.5495    0.9655    24.2524
0251    000008.3138    0.2500    0.2127    0.5504    0.9667    24.6591
0252    000008.3177    0.2500    0.2155    0.5506    0.9667    24.0789
0253    000008.5948    0.2500    0.2152    0.5528    0.9665    23.8735
0254    000008.7883    0.2450    0.2167    0.5466    0.9661    24.3141
0255    000008.3138    0.2500    0.2122    0.5483    0.9667    24.1355
0256    000008.3074    0.2500    0.2141    0.5484    0.9667    23.9459
0257    000009.0356    0.2500    0.2156    0.5473    0.9661    23.7837
0258    000008.4388    0.2500    0.2160    0.5496    0.9667    24.2131
0259    000008.6610    0.2500    0.2129    0.5473    0.9667    24.0537
0260    000008.4071    0.2500    0.2149    0.5471    0.9667    23.8470
0261    000008.6954    0.2475    0.2229    0.5445    0.9660    23.9949
0262    000008.3177    0.2500    0.2233    0.5441    0.9667    24.0435
0263    000008.3138    0.2500    0.2217    0.5441    0.9667    23.9447
0264    000008.3177    0.2500    0.2203    0.5459    0.9667    24.4222
0265    000008.3138    0.2500    0.2226    0.5450    0.9667    24.0080
0266    000008.3138    0.2500    0.2222    0.5447    0.9667    23.8209
0267    000008.6665    0.2475    0.2154    0.5533    0.9665    24.1955
0268    000008.3177    0.2500    0.2167    0.5528    0.9667    24.1174
0269    000008.3177    0.2500    0.2169    0.5531    0.9667    24.3348
0270    000008.3058    0.2500    0.2160    0.5533    0.9667    24.2091
0271    000008.3138    0.2500    0.2163    0.5521    0.9667    24.0676
0272    000008.3066    0.2500    0.2180    0.5527    0.9660    24.7199
0273    000008.3066    0.2500    0.2149    0.5526    0.9663    23.9746
0274    000008.3138    0.2525    0.2160    0.5515    0.9667    24.2548
0275    000008.4209    0.2500    0.2151    0.5489    0.9667    23.8534
0276    000008.3138    0.2500    0.2143    0.5491    0.9667    23.9794
0277    000008.3058    0.2500    0.2167    0.5486    0.9667    24.1293
0278    000008.3144    0.2500    0.2176    0.5486    0.9667    24.3154
0279    000008.3098    0.2525    0.2141    0.5492    0.9667    24.0878
0280    000008.3138    0.2500    0.2159    0.5495    0.9667    23.9315
0281    000008.3140    0.2500    0.2146    0.5481    0.9667    24.2080
0282    000008.3138    0.2500    0.2148    0.5494    0.9667    24.2681
0283    000008.3098    0.2500    0.2143    0.5487    0.9667    23.9884
0284    000008.3138    0.2500    0.2166    0.5485    0.9667    23.9541
0285    000008.3177    0.2500    0.2166    0.5491    0.9667    24.7024
0286    000008.3138    0.2500    0.2163    0.5483    0.9667    23.7516
0287    000008.3177    0.2500    0.2162    0.5481    0.9667    24.1906
0288    000008.5465    0.2500    0.2188    0.5528    0.9667    24.3856
0289    000008.3138    0.2500    0.2160    0.5536    0.9667    24.0706
0290    000008.3138    0.2500    0.2180    0.5544    0.9667    24.1838
0291    000008.3177    0.2500    0.2198    0.5526    0.9667    24.3139
0292    000008.3177    0.2500    0.2183    0.5537    0.9667    24.0686
0293    000008.3144    0.2500    0.2173    0.5523    0.9667    24.3069
0294    000008.3177    0.2500    0.2168    0.5531    0.9667    24.2851
0295    000008.3177    0.2500    0.2184    0.5530    0.9667    24.0728
0296    000008.3177    0.2500    0.2187    0.5528    0.9667    24.3327
