Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
8996d74e-4f37-4e63-a10b-11e415b38dc7
Epoch 5 | Batch 45/58 | Loss 9.7858 | Rotate Loss 0.8062 | Accuracy 2.032136/1.654718 | Rotate Accuracy 69.4392 | Time 14.0630
Epoch 5 | Batch 50/58 | Loss 9.8899 | Rotate Loss 0.8121 | Accuracy 2.074453/1.614687 | Rotate Accuracy 68.4854 | Time 14.1884
Epoch 5 | Batch 55/58 | Loss 9.9361 | Rotate Loss 0.8109 | Accuracy 2.096273/1.661927 | Rotate Accuracy 68.4136 | Time 14.0909
Epoch 5 : Accuracy 1.600000, Rotate Accuracy 70.237500, Time 1622.618082
Epoch 6 | Batch 0/58 | Loss 9.8243 | Rotate Loss 0.5925 | Accuracy 2.898551/0.724638 | Rotate Accuracy 73.9130 | Time 14.3581
Epoch 6 | Batch 5/58 | Loss 9.5387 | Rotate Loss 0.7176 | Accuracy 1.932367/0.971026 | Rotate Accuracy 69.0821 | Time 14.2141
Epoch 6 | Batch 10/58 | Loss 9.4535 | Rotate Loss 0.7932 | Accuracy 1.844532/1.195634 | Rotate Accuracy 67.7207 | Time 14.4356
Epoch 6 | Batch 15/58 | Loss 9.1511 | Rotate Loss 0.8118 | Accuracy 2.083333/1.329843 | Rotate Accuracy 66.2591 | Time 14.1063
Epoch 6 | Batch 20/58 | Loss 9.0803 | Rotate Loss 0.7943 | Accuracy 1.932367/1.452547 | Rotate Accuracy 66.8392 | Time 14.1951
Epoch 6 | Batch 25/58 | Loss 9.0219 | Rotate Loss 0.7577 | Accuracy 1.839465/1.457319 | Rotate Accuracy 67.6700 | Time 14.2596
